#{"t_start": 1764333360.1245508, "env_id": "None"}
r,l,t
32.539993,177,196063.573564
33.966663,200,196071.378038
31.419998,164,196085.569934
39.913322,183,196085.569934
9.666662,175,196093.39295
31.519993,158,196136.145754
31.846664,153,196137.128898
10.599998,129,196167.433221
34.659996,190,196190.432169
17.593328,153,196204.995223
31.946663,186,196215.263347
25.973331,173,196229.619184
38.319996,188,196233.348844
35.226665,165,196254.123606
12.539994,199,196278.504299
33.446663,164,196288.722308
27.106668,141,196312.634873
15.193333,147,196325.005023
35.36,183,196327.347407
31.366665,177,196364.157156
37.09333,185,196367.347074
36.393326,188,196396.14533
23.52,131,196414.451775
39.653336,196,196435.426903
36.426666,204,196458.055252
35.806667,164,196463.133289
38.306667,190,196481.214015
34.02667,161,196500.418536
12.406657,209,196540.721828
35.26,170,196542.468743
29.986664,164,196555.309365
30.84,156,196568.947304
27.246664,137,196577.944211
30.413334,151,196580.781229
34.579994,164,196613.786107
36.413334,183,196645.604709
35.63333,177,196679.640096
35.899994,181,196683.035949
34.079998,167,196683.97815
26.42666,149,196698.779754
22.886665,170,196714.154812
11.106658,200,196732.265015
38.306656,183,196773.330175
12.553333,106,196780.924083
22.893332,150,196782.51873
16.326668,113,196788.346514
30.406662,160,196828.939268
28.446665,141,196838.680494
29.433329,157,196865.31414
27.359999,204,196876.212614
22.046665,126,196887.189274
23.906662,157,196908.090542
24.999998,131,196938.08776
38.52666,197,196939.212109
32.15333,198,196952.7014
25.893332,156,196963.048551
27.086664,130,197004.247703
31.899994,157,197004.247703
31.219994,193,197010.692239
31.71333,162,197045.903993
32.719986,242,197049.612515
24.706663,137,197053.95782
31.653328,182,197058.439719
32.213333,180,197069.821109
37.96,180,197121.284323
40.766663,204,197130.096841
27.513325,205,197132.450094
29.90666,153,197141.351668
31.41333,149,197144.854631
38.213333,190,197185.117148
37.679996,198,197185.117148
20.79333,184,197195.742009
35.853333,191,197269.706798
34.78666,181,197289.35379
37.26,196,197292.752294
24.466665,196,197310.042072
40.3,229,197327.160152
25.03333,164,197341.429625
40.18666,187,197349.24227
37.433327,215,197367.279856
11.533333,105,197417.966408
29.686666,158,197422.16161
37.79333,204,197445.851552
40.686665,199,197459.132259
34.086666,169,197464.308044
29.333328,152,197473.315062
37.939995,213,197485.993552
25.386663,173,197502.697851
36.199997,170,197541.911396
32.539997,181,197546.179537
33.94666,170,197556.976718
29.813332,153,197563.638762
35.319992,191,197578.848909
32.766666,190,197581.397911
32.406666,169,197583.80263
25.899996,175,197606.883305
19.766665,151,197635.778657
37.21334,216,197678.012727
31.313328,194,197679.78522
24.953333,185,197681.606194
37.23333,172,197691.31449
36.04666,181,197694.490451
33.133327,167,197717.872224
38.96,210,197721.300747
10.980002,163,197744.733724
29.046667,156,197774.707927
34.173332,159,197778.037901
39.11999,207,197805.014667
34.77333,190,197809.052392
33.966663,157,197810.583647
34.62,204,197814.471002
39.286667,209,197841.02508
31.019997,167,197870.918635
34.44,227,197875.087619
